

admin@DESKTOP-CTAGE42 MSYS /d/AlBrowserDownloads/cryptopp600a
mingw32 mingw-w64-i686-libffi 3.2.1-4
mingw32 mingw-w64-i686-libfilezilla 0.12.2-1
mingw32 mingw-w64-i686-libfreexl 1.0.5-1
mingw32 mingw-w64-i686-libftdi 1.4-1
mingw32 mingw-w64-i686-libgadu 1.12.2-1
mingw32 mingw-w64-i686-libgcrypt 1.8.2-1
mingw32 mingw-w64-i686-libgd 2.2.5-1
mingw32 mingw-w64-i686-libgda 5.2.4-1
mingw32 mingw-w64-i686-libgdata 0.17.8-1
mingw32 mingw-w64-i686-libgdiplus 5.6-1
mingw32 mingw-w64-i686-libgee 0.20.1-1
mingw32 mingw-w64-i686-libgeotiff 1.4.2-2
mingw32 mingw-w64-i686-libgit2 0.27.0-1
mingw32 mingw-w64-i686-libgit2-glib 0.26.4-1
mingw32 mingw-w64-i686-libglade 2.6.4-5
mingw32 mingw-w64-i686-libgme 0.6.2-1
mingw32 mingw-w64-i686-libgnomecanvas 2.30.3-3
mingw32 mingw-w64-i686-libgoom2 2k4-3
mingw32 mingw-w64-i686-libgpg-error 1.31-1
mingw32 mingw-w64-i686-libgphoto2 2.5.18-1
mingw32 mingw-w64-i686-libgsf 1.14.42-1
mingw32 mingw-w64-i686-libguess 1.2-3
mingw32 mingw-w64-i686-libgusb 0.2.11-1
mingw32 mingw-w64-i686-libgweather 3.24.1-1
mingw32 mingw-w64-i686-libgxps 0.3.0-1
mingw32 mingw-w64-i686-libharu 2.3.0-2
mingw32 mingw-w64-i686-libical 3.0.3-1
mingw32 mingw-w64-i686-libiconv 1.15-2
mingw32 mingw-w64-i686-libidl2 0.8.14-1
mingw32 mingw-w64-i686-libidn 1.35-1
mingw32 mingw-w64-i686-libidn2 2.0.5-1
mingw32 mingw-w64-i686-libilbc 2.0.2-1
mingw32 mingw-w64-i686-libimagequant 2.11.9-1
mingw32 mingw-w64-i686-libimobiledevice 1.2.0-1
mingw32 mingw-w64-i686-libjpeg-turbo 1.5.3-1
mingw32 mingw-w64-i686-libkml 1.3.0-4
mingw32 mingw-w64-i686-libksba 1.3.5-1
mingw32 mingw-w64-i686-liblas 1.8.1-1
mingw32 mingw-w64-i686-liblastfm 1.0.9-2
